BLOCK_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
170310106004012,181091,20730,34660,42327,5.224783612,0.48975831,56.23912696,5.271716848
170310106004013,148944,14143,37340,37340,3.988859132,0.378762721,42.93574085,4.076969753
170310106004014,394129,61385,110564,30130,3.56471365,2.037338201,38.37027491,21.92973533
170310107011001,142278,20651,21413,21413,6.644468314,0.964414141,71.52049249,10.38087189
170310107011002,250951,95631,119044,119044,2.108052485,0.803324821,22.69089787,8.646920133
170310107011003,53736,9110,12093,12093,,,,
170310107011004,216705,57109,63951,38705,,,,
170310107011005,99835,19269,13971,19556,7.145873595,0.985324197,76.91757635,10.60594596
170310107011008,192387,36142,42185,45685,4.5605547,0.791113057,49.08942337,8.515473739
170310107011009,290082,77413,109536,109536,2.648280018,0.706735685,28.50586114,7.607242878
170310107011010,204162,73984,52234,52234,3.908603592,1.416395451,42.07187703,15.24596032
170310107011011,143930,25484,12479,12479,11.53377674,2.042150813,124.1485931,21.98153788
170310107011012,113050,23216,26344,26344,4.291299727,0.881263286,46.19118572,9.485843146
170310107011013,81433,13979,15596,17616,5.221402924,0.793539964,56.20273752,8.541596759
170310107011014,105570,2125,18870,18870,,,,
170310107011015,105129,21758,39188,39188,,,,
170310107011016,165418,53194,68699,68699,2.407866199,0.774305303,25.91806722,8.334556503
170310107011017,253921,15249,45196,22356,5.618218426,0.682098765,60.47402588,7.342053168
170310107012000,441578,61728,75344,75344,5.860825016,0.819282226,63.0854226,8.818684279
170310107012001,76815,17856,15757,16989,4.874976201,1.051033021,52.4738297,11.31323016
170310107012002,15960,188,7866,7866,2.028985507,0.023900331,21.83982764,0.257261128
170310107012003,156081,19547,37483,25384,4.164047702,0.770052001,44.82145573,8.288774327
170310107012004,360163,63214,95361,97083,,,,
170310107012005,208708,41737,52136,52136,,,,
170310107012006,251884,52365,54921,54921,4.586296681,0.953460425,49.36650787,10.26296702
170310107012007,213935,27406,42959,42959,4.979980912,0.637957122,53.60409149,6.866916267
170310107012008,73175,17240,16401,17901,4.461618194,0.963074689,48.02447923,10.36645414
170310107012009,61949,17409,20777,20777,2.981614285,0.837897675,32.09384288,9.019059399
170310107012010,431903,79854,79873,57594,5.407371703,1.386498594,58.20448966,14.92415308
170310107012011,183037,25907,36148,36148,5.063544318,0.716692486,54.50356089,7.714417042
170310107012012,222942,48414,57856,60200,3.853394635,0.804219269,41.47761251,8.656547895
170310107012013,130166,18440,24188,24188,5.381428808,0.762361502,57.92524254,8.205994441
170310107012014,121003,19675,32161,32161,3.762414104,0.611765803,40.4983058,6.584995138
170310107012015,174481,54279,54794,54794,3.184308501,0.990601161,34.2756262,10.66274674
170310107012016,105719,17072,9626,15923,10.98265115,1.072159769,118.216324,11.54063667
170310107012017,61228,4990,12027,8530,5.090878856,0.584994138,54.79778754,6.29682721
170310107012018,263997,27384,40331,40331,6.545758846,0.678981429,70.45799216,7.30849842
170310107021000,397561,66190,94052,95800,,,,
170310107021001,72263,12073,42058,26863,,,,
170310107021002,324985,41915,38985,59821,8.336154931,0.700673676,89.72966353,7.541991932
170310107021003,250016,25984,44550,36624,,,,
170310107021004,163793,49889,57223,42449,2.862363036,1.175269147,30.81023256,12.65049726
170310107021005,424497,123234,115163,93118,,,,
170310107021006,742467,91391,121638,90951,,,,
170310107021007,147836,20796,22500,22500,6.570488889,0.924266667,70.72418424,9.948727885
170310107021008,343633,37218,28034,28034,12.25772277,1.327602197,131.9410866,14.29019727
170310107021009,623122,43034,59110,46026,10.54173575,0.934993265,113.4703481,10.06418807
170310107021011,71390,16253,12156,12156,5.872820007,1.337035209,63.21453566,14.39173341
170310107021012,126964,23367,35132,36980,3.613913241,0.631882098,38.89985513,6.80152523
170310107022000,592363,164813,138154,138154,4.287700682,1.192965821,46.1524459,12.84098275
170310107022001,144311,26537,33266,39068,4.338092948,0.679251561,46.69486397,7.311406105
170310107022002,31910,3932,3848,3848,8.292619543,1.021829522,89.26105231,10.99888617
170310107022003,419266,46619,59312,52912,,,,
170310107022004,428088,48129,45560,36768,9.396136962,1.308991514,101.1392201,14.08987346
170310107022005,116399,9859,19886,19886,5.853313889,0.495775923,63.00457347,5.336489917
170310107022008,88519,20644,21262,10222,4.163248989,2.019565643,44.81285845,21.73843302
170310107023000,322364,86957,96012,80181,3.357538641,1.084508799,36.14026071,11.67356058
